Complaint_Narrative,Product,Sector,Priority_Level,Urgency_Score
✅ Trip Verified |  11 passengers were not given boarding passes to board the Mumbai – Doha flight leaving on 07/04/18 at 18.05hrs. They were not allowed to board the flight and were put on a flight to Bangalore leaving at 9pm to catch the 03.45am flight on the following day 08/04/18 to Doha by Qatar Airways. The ground staff are so incompetent. It is a high risk to fly with Air India Express. We all need an explanation why this was done but there is no answer from the phone numbers.,Air India Express,Aviation,High,9.0
"✅ Trip Verified |  I have booked tickets for 6 people. 4 hours before the flight take off I received a call from AirAsia customer service that the flight is cancelled due to technical issue. I was asked to take the next day 5 am call. I told them I had already started my commute to airport and try to find an alternate flight for the same day. 10 minutes later I got a call again stating that the technical problem got resolved and I can use the same flight. When I enquired with some of the co-passengers to find out whether they received similar call from AirAsia, none of them had received calls like that.",AirAsia India,Aviation,High,8.0
✅ Trip Verified |  Bangalore to Singapore. Horrible experience with check in staff at Bangalore. We had an onward flight from Singapore to Jakarta on Singapore Airlines. The check in staff refused to check us in saying we did not have Singapore visas. We explained that we were transiting at Singapore so did not need a visa. They refused to accept. I explained that at Singapore it is possible to freely transfer between terminals T2 & T3 without needing to pass Immigration. They refused to agree and insisted we required a Singapore visa. After much discussion they allowed us to board after they realized we possessed valid US & other visas. Wereached Singapore and there is no requirement to pass Immigration. Imagine if we did not possess other visas- would we have not been allowed to travel. Sad to see the poor quality of ground staff at Indigo.,IndiGo,Aviation,High,7.5
Canara Bank cheque deposit is stuck for 15 days. Koi update nahi. What kind of slow service is this? Mera kaam ruka hua hai.,Canara Bank Cheque Deposit,Banking,High,8.5
I ordered a cake and when I cancelled my order within 5 mins for some reason.... zomato compensate the whole amount. very bad experience i will never ever use this aap.,Zomato Food Delivery,Food & Beverage,Medium,6.0
Received unsolicited calls for loans after declining them. Meri privacy ka kya hua?,Axis Bank Data Privacy,Banking,Medium,6.5
"✅ Trip Verified |  Unprofessional, every two weeks once I travel to Tirupati from Hyderabad. My tickets were prebooked by company and seat allocated. Once we come to that desk they will change seat and will give their preference seat. Actually mine is 2B, have given 3D ,if we question it’s not confirmed they will say. Its not first time, always.",SpiceJet,Aviation,Medium,5.5
No more Pay on Delivery option. and Zomato doesn't take responsibility of incorrect quantity delivered.,Zomato Food Delivery,Food & Beverage,Medium,6.0
always late,Zomato Food Delivery,Food & Beverage,Medium,5.0
"✅ Trip Verified |  Guwahati to Delhi. My flight booked through Cheapoair for April 15th was canceled, Vistara could not provide the service I paid them for, and Cheapoair will not refund my money. It reflects poorly on your company.",Vistara,Aviation,High,9.5
pathetic delivery service,Zomato Food Delivery,Food & Beverage,Medium,5.0
"Myntra se jeans mangwai, size chart ke hisaab se li thi, phir bhi fitting itni kharab hai. Return karwao yeh sab.",Myntra Jeans,Retail,Medium,4.0
"Amazon prime member hoon, phir bhi delivery itni late! Birthday gift tha, ab kisi kaam ka nahi. Worst service ever!",Amazon Delivery,Retail,Medium,6.5
"RTGS kiya tha, abhi tak beneficiary ko nahi mila. Urgent payment thi, mera nuksaan ho raha hai. Is this how you do business?",IndusInd Bank RTGS,Banking,High,9.0
"Not Verified | Travelled on 20th Nov 20023 back on 4th Dec 2023 from Singapore to Bangalore return. While going flight was delayed by 14 hrs, coming back 5 hrs. No early information on delay while coming back. Stayed in the airport for alomost 6 hrs waiting. Suggest not to travel by this plane if you have another airline connecting flight.",AirIndia,Aviation,High,8.5
"✅ Trip Verified |  We had confirmed our ticket on 22/07/2022. During confirmation they provided me a seat, which was 9D. But, during the period of Boarding they changed my seat to 33 D without any prior notification.  Their luggage handling system tore my luggage cover and there were several scratched on our luggage. They had boarded us on air bridge before making the aircraft ready. For this reason we had to wait on air bridge almost 20 minutes.",IndiGo,Aviation,High,8.0
"✅ Trip Verified | Check in was extremely chaotic at both Mumbai to Sharjah. I was only checked in 1hr before departure in spite of arriving 2.5 hrs early at BOM. Air India handles Air India express check in at BOM and they were not helpful at all, more like clueless on how to handle the check in. Was hoping to at least fly on one of the newer planes. Unfortunately, on both sectors (BOM-SHJ & return), I flew on the older ones. Bringing positives in view first: Cabin Crew on both flights surprisingly stood out. All 4 or them were helpful in every way. Always received a ""Your Welcome"" when I thanked them. Another plus was the small snack box, consisting of juice, few snacks & a water bottle. Tea and coffee service was also done with refills provided, which was really nice. The crew were more than willing to offer one more snack box if requested. The seat was alright. However, coming to the negatives, the entire cabin wasn't in good condition. It gave a very old feeling. The washrooms did not have any lighting inside and it was dark if you had to use it. Overall, I would not recommend to fly with this airline as, they need to improve all areas from start to end to better the passenger experience. The crew are the only people who stand out.",Air India Express,Aviation,Medium,6.0
They Add a extra charge's like restaurant charge and etc,Zomato Food Delivery,Food & Beverage,Medium,5.5
"My current account balance suddenly showed a negative figure, even though I had sufficient funds. What kind of error is this?",Axis Bank Current Account,Banking,High,9.0
"✅ Trip Verified |  Its a Low cost carrier but that does not mean you literally stuff your passenger inside the aircraft. There was no leg space. We (me and my wife) had to sit for 2 hours in the same position. On top of this, we were assigned the last seat (36th row) and the seats weren’t recliner. No space behind. Buses provide best and comfortable seats these days. Very disappointed with SpiceJet. I wish I never get to travel with this carrier in my future.",SpiceJet,Aviation,Low,3.0
Credit card bill mein galat charges aaye hain. Dispute kiya but koi response nahi. Loot macha rakhi hai!,RBL Bank Credit Card,Banking,High,8.5
"✅ Trip Verified |  I had requested for a wheelchair. In Mumbai, the ground crew told me my name was not in the list and they cannot provide me wheelchair. The inflight food was inadequate, a bun was given, but without butter. When asked, the hostess told we don't provide butter.  Though there was plenty of time to descend and the seat belt sign was turned off, the crew would not allow usage of the restroom.",IndiGo,Aviation,High,9.0
"Porting my number from Vi to Airtel for 5 days, still no service. Chuna lagaya, my business calls are suffering!",Mobile Number Portability,Tech & Telecommunications,High,9.0
swiggy is thousand time's better then zomato...,Zomato Food Delivery,Food & Beverage,Low,1.0
"✅ Trip Verified | I was surprised to receive a call from Go First airlines wherein they informed that the flight which I was suppose to board on 5th March 2023 from Lucknow to Bangalore has been cancelled due to operational reasons. I was completely shocked as, I had to board this flight on 5th March 2023 and I received the call on 1st March 2023. When I asked them to provide me another flight, they informed me I have two options 4th March: 7:15 PM will reach on 7:20 AM (next day 5th march): lay over at Mumbai 4th March: 2:25 PM will reach on 11:25 PM: Mumbai I have asked them to give me a direct flight, they said there are no directs flights either on 4th or 5th, because they have only one flight from Lucknow to Bangalore. I am surprised that how come an airline is only providing single flight to such a big City Bangalore. This was the worst experience of my air travel. I would never recommend in my family and friend to book any ticket in a worst airline Go First",Go First,Aviation,High,10.0
worst customer support I ordered meals and i received curries came out of box how can eat spillage happen i chatted with customer support it's package mistake we will inform restaurant now my food what i will eat and money who will give back or replacement my food also not possible regularly i will use this app from now I won't use this app for ever,Zomato Food Delivery,Food & Beverage,High,8.0
it's not easy to use at all I cannot get any help with any issues and that's a another issue u can't even use it properly,Zomato Food Delivery,Food & Beverage,Low,2.0
"Not Verified |  Our flight was reassigned to another route (our plane to Delhi on September 9th past midnight was given to Mumbai flight), decision was made at the gate. All Delhi passengers were stranded. No lounge or compensation was given. We were then made to fan on our own to fight for the morning 8.30am flight. No assistance was provided. Some did not even get tickets to the 8.30 flight The flight was full. As a result of our 8 hour delay. We missed our connecting flight to Kathmandu. At Delhi, again no arrangements were made for us. We had to do it ourselves and had to ensure our baggages were also rightfully transferred to the new arranged flight more thank 6 hours later -  stranded another 6 hours in Delhi. We fought for some rest and sleep for lounge access. None was given, after much argument. Only a veg lunch voucher was given, estimated 450rp per person (there were 3 of us). In all of this no one apologised. The duty personnel in Changi Airport on the 9th past midnight to early morning 8.30am at the gate were hopeless and offered no sympathy or help. No one from Air India were at the transfer desk at 6am that morning to arrange for the new boarding passes. It was all left to Changi Airport staff to assist (and they were also clueless what was happening.  We were lied that we were to be placed on the 2.40am SQ flight to Delhi. In India upon landing, the Air India staff were clueless too. They even can tell us the midnight flight to Delhi did take off as per their system.  Following this I wrote at least 4 emails to vent my anger. All I received was a cancellation letter of my flight. I had hope and requested for a better treatment of our return flight back to Singapore on the 24th of September from Kathmandu. I received an email 8 hours b4 the flight mentioning my request for some comfort and upgrades will be looked at. At the airport in Kathmandu on 24th I showed to duty manager and supervisor he literally said our requests will be done in Delhi.  In Delhi nothing was done. No one knew nothing and we just gave up by then. By the way what a horrible flight AI382 was, no entertainment system!",AirIndia,Aviation,High,9.5
"Not Verified | I have been flying for the past 21 years and never have I seen such a poorly conditioned International flight. Your flight was disgusting and dirty. The toilet situation was horrendous and had a disgusting smell all the time. Also, your entertainment service was not available for the entire 15 hr flight. The meals were exceptionally nasty and tasteless. It is such a shame to represent India with this kind of flight. The only part I was satisfied with was the service from one of your staff. She was kind and nice to everyone. I am not writing this review with the hope that you will address all your flight issues but at least I want you to acknowledge the horrible service you are providing.",AirIndia,Aviation,Medium,7.0
"Not Verified | Maldives to Delhi. We booked a return flight from Delhi to Maldives. Our return flight from Maldives on 22nd September was cancelled and we were made to take a flight via Bengaluru subjecting us to enormous hardships of disembarking at Bengaluru, multiple security checks and luggage check in, delay in reaching the destination. We were told at Maldives that this is a regular practice of Go First. They book the return tickets and subsequently cancel the return flight several times in a week when the passenger has no choice.",Go First,Aviation,High,9.5
"Not Verified |  My Flight from Delhi to Toronto was 15 Hrs, TV was not working and I asked cabin crew and they said many of our TV is not working. Imagine 15 hrs flight with no TV and cabin crew service was very rude. I am not going to travel with Air India anymore and my family and friends.",AirIndia,Aviation,Medium,6.0
"When I was working in my previous company, they have offered me a salary account with Indusind bank. I have used this account for last 2 years. Most of the time, their servers are down and ATM is not good even if i visit the branch for any request, they asked me to provide a written letter as well. If I do cash deposit from other bank ATM to  this bank account, they are taking a extra charges of Rs. 60.",IndusInd Bank,Banking,Medium,6.5
"Petshop se puppy kharida, do din mein bimar ho gaya. Doctor bolte breed sahi nahi hai. Health certificate bhi fake tha!",Petshop Puppy,Retail,High,9.0
✅ Trip Verified |  I first travelled in May 2022 and had return flight Aug 20th 2022. As per the itinerary I reached the airport and stood up in the line and when I reached at the checking counter after looking at my ticket the rep. simply directed me to the manager working on that day. I was informed that the flight has been cancelled from Tel Aviv from where I had my connecting flight. After all the trials and everything I was directed at the reservation counter of air India and assured that I have received the refund on profile but need to contact agent who booked my flight because amount goes back to their account. For almost an year of a try they have not initiated the refund and the reason they have is of no show? Literally there’s no other answer they have which is clearly they are lying and basically scammed me for such a huge amount?,AirIndia,Aviation,High,10.0
✅ Trip Verified |  The inflight entertainment was not working. They did not have pillows for passengers and you literally had to ask them for blankets as it was very cold in the aircraft. Food was not up to standard. Cabin staff were good,AirIndia,Aviation,Medium,5.5
✅ Trip Verified |  The quarantine facility arranged by Go First Airlines turned to be a nightmare. They made a group of 6 people settle down in a single room and please note that all of us had mandatory quarantine on arrival. Sub standard hotel with no laundry and plumbing assistance. We had taps that didn't work and not even a soap.,Go First,Aviation,High,9.0
they don't hv option to change the location,Zomato Food Delivery,Food & Beverage,Low,2.0
They removed the detailed review section. Now you can't check the reviews by real people before ordering from a new restaurant.,Zomato Food Delivery,Food & Beverage,Medium,4.0
✅ Trip Verified |  Airplane was really poor condition. The seats are very uncomfortable. Tight leg space.  Got seat near washroom. Cabin crew staff is good - Helpful and Polite.,SpiceJet,Aviation,Medium,5.0
App is ok but their business policy is anti-customer. Just today their customer support ensured that I'm forced to accept what they enforce upon me. The support request was closed leaving me without a resolution.,Zomato Food Delivery,Food & Beverage,Medium,5.0
"✅ Trip Verified |  Absolute worst airline and service. IFE did not work for most people on the flight, meals were terrible, cabin crew took at least 15 minutes to respond to calls at a time when they were not even busy. Air con did not work for 45 minutes when we were waiting to take off at 40C in Delhi airport (it worked fine once we were airborne), seats did not recline properly. No alcoholic beverages served and no communication from pilot or co-pilot whatsoever though the entire flight. Absolutely horrendous show and definitely not flying them again.",AirIndia,Aviation,High,8.5
"✅ Trip Verified |  Flight was delayed 8 hours in total, and staff were clueless when it comes to basic communication, informing passengers about flight details and helping people reschedule. Was a total joke and never flying Air India again.",AirIndia,Aviation,High,9.0
"Yeh Brand Factory ke kapde itni ghatiya quality ke hain, ek wash mein rang nikal gaya. Pure paise barbaad.",Brand Factory Apparel,Retail,Medium,6.0
totally fraud,Zomato Food Delivery,Food & Beverage,High,8.0
app not working properly on paymant mood,Zomato Food Delivery,Food & Beverage,Medium,6.5
getting worst today I got the worst experience I have never faced delivery boy issue but today zomato cross it's limit,Zomato Food Delivery,Food & Beverage,Medium,6.0
worst service.,Zomato Food Delivery,Food & Beverage,Medium,5.5
"The order was delayed for more than an hour. Had to cancel it, there was absolutely no way to talk to humans. Just chatbot driven. No human touch, pathetic experience",Zomato Food Delivery,Food & Beverage,Medium,7.0
Not Verified |  My flight got rescheduled 7 times in 2 days! Multiple last minute delays and so unreliable. Never fly Go First. Extremely unreliable and poor management.,Go First,Aviation,High,9.5
"✅ Trip Verified |   I had an excess of 3 kgs of luggage which the executive rudely ignored I had no had carry’s and he said that both can’t be clubbed. Then while boarding they say that give your hand carry’s as there is no enough place in the aircraft.  Are these ways to grab money from your customers? They call themselves an amazing air line, such misconceptions they have about themselves!",IndiGo,Aviation,Medium,5.0
"✅ Trip Verified | We are extremely disappointed with Indigo Airline services. I was travelling with my family and 2 years old daughter from Ahmedabad to Mumbai in domestic Indigo flight # 6E6794 on 14th Feb 2023. Unfortunately for some reason Indigo flight was delayed AS ALWAYS. The flight was supposed to fly 10:20 PM but it took off by 11:05 PM. Even thought the flight took off so late, the airline must cover up the time gap to reach Mumbai airport on time but in this case they didn't make an effort to do so. We reached extremely late at Mumbai International airport that the check-in counter was closed for my next connecting flight (Cathay Pacific) from Mumbai to Vancouver. Immediately we had to book another flight from Lufthansa and spend CAD 4500. This is extremely disappointing and we would not prefer to travel with Indigo Airlines ever again.",IndiGo,Aviation,High,9.0
✅ Trip Verified |  I reached the airport 45 minutes before takeoff but at the boarding pass counter they denied me for boarding and said that I am late. When I requested them they charged 3000 rupees extra for boarding. I was travelling from Patna to Jaipur via Delhi. When I reached Delhi the flight connecting flight was delayed again. I was waiting from 3 pm till 7 pm. My flight was at 9 pm but at 7 pm I got message that flight has been canceled due technical issues. Now they are not refunding the amount. Very bad experience. I would never suggest anyone to travel with this airline.,SpiceJet,Aviation,High,9.5
ICICI Bank's branch staff is so rude and unhelpful. Long queues and zero efficiency. Time barbaad karte hain.,ICICI Bank Branch,Banking,Low,3.0
"✅ Trip Verified |  By far the worst flight experience I have had in my life. Customer service was rude, plane was uncomfortable. This was the last leg of my journey from America to India and I will be sure to never fly Indigo again. At least some of the lower service staff tried to be helpful, but the manager of the Bangalore Indigo crew  was the most unhelpful, rude, entitled person I have ever had the misfortune of meeting. I have never been treated so poorly by someone in the service industry and I hope Indigo realizes that this one person has cost them many customers.",IndiGo,Aviation,Medium,6.0
"✅ Trip Verified |  SYD-DEL-CPH-DEL-SYD: on each of these 4 legs we had no light, no call button, no entertainment and no apology. Leaving Sydney, we waited on the ground for 2 hours as people in hi-viz kept walking on and off the plane wearing worried expressions. The announcement from the flight deck was garbled but we understood the words 'technical issues'. By the time we arrived in New Delhi it was so late there was no slot for landing so we ended up in the cargo area and had to take a bus to the terminal. When we got on the plane in Delhi to return to Sydney we waited 10 minutes after scheduled take-off to receive the first piece of information from the flight deck: 'technical issues ... safety' and we were deplaned. 90 minutes in Delhi airport until a new plane could be organised. Then full security check again. We were compensated with warm water or juice box. But better to be deplaned on the ground than in the air. And, once again, no light, no call button, no entertainment and no apology. Generally the staff were good on the four legs - though conspicuously absent during the shambles of deplaning. Food too was OK, but difficult to muck up a veg curry. Needless to say, we will never fly Air India again.",AirIndia,Aviation,High,9.0
"zomato is fraud I have paid more and receive much less quantity last time order from zomato, everyone do not make online payment only pay after checking. as zomato do not refund now!",Zomato Food Delivery,Food & Beverage,Medium,6.5
"Bought Sennheiser headphones, left earbud stopped working within a week. Quality is pathetic for such a premium brand. Paise barbaad!",Sennheiser Headphones,Tech & Telecommunications,Medium,6.0
"✅ Trip Verified | Sometime around 2017 I got the patriotism bug. After avoiding Air India like a plague for years, I decided to travel with Air India. Well the first time from SFO-CCU and back wasn’t bad. However, as the years have progressed, Air India has gotten progressively worse. Yes, Air India seems to have gotten worse after the takeover of Tata. Without recounting every horror story that I have about Air India, I will simply, and briefly share my experience with Air India flying back from CCU to EWR on June 30, 2023. As we got to the airport I was prepared for the rudeness. The staff members of Indigo, Spice, etc., seemed to be treating their customers in a friendly manner, however, Air India staff seemed just sad, and pathetic. So then we get on our flight from CCU to DEL. The food is inedible, the AC doesn’t seem to be working, and the flight attendants were missing for the rest of the flight. Okay, so then we get to Delhi. Now, I don’t if it’s just an attitude issue, perhaps something cultural, in Delhi, or Air India. But Air India staff there are not only rude but also just pathetically incompetent. Somehow, I got called in for “a secondary inspection.” Apparently having a Zippo (without fuel) is not allowed by CISF. Anyway, so after being harassed by them, I get back to the gate and the Air India staff has somehow lost my boarding pass, which they had kept when I went to see the CISF people. Instead of apologizing and reissuing a pass two Air India staff kept arguing with me that they don’t have my boarding pass. Finally, they find it. Again no apology. So, I being exhausted, get on the flight. This time I had made sure to get on the flight early, since on my way to Kolkata, they could not find a space for my cabin luggage so I had to store them in two different overhead bins. So I was relieved when I saw the overhead bins empty (I had booked extra legroom seats). However, the moment I start putting my luggage, an anxious flight attendant runs towards me and starts scolding me. I inform her that it was my seat and I will keep my luggage there. She proceeds to tell me that the overhead bin is reserved for “oversized baggage.” So at this point, I lose my cool. So, let me understand this, instead of enforcing the rule regarding baggage size and weight, like a normal airline, Air India has decided to punish passengers who ARE following the rule. Anyway I told the flight attendant that I will be keeping my bag where it is and that’s that. She mumbled something about people brining 4 bags instead of 2. Whatever! However, somehow this flight attendant seemed to be the one serving my seat for the whole 14 hour flight. As expected the in-flight entertainment system did not work. Funnily the guy seating beside me had his remote literally torn off from his seat. However, I regret eating the pathetic food that Air India provided. I kid you not, the salad they gave was literally rotten. Didn’t they know that Mayonnaise rots very easily, and DOES NOT need to be warmed up? What was worse than the food was that the same flight attendant kept pushing my buttons throughout the flight. At some point, like a good passenger I had kept my trash ready to be given back to the attendant after dinner. However, when the attendant came, she seemed agitated, gestured toward the front of the flight, and said “You can throw it in.",AirIndia,Aviation,High,9.0
Gopalan Mall mein washrooms itne gande the. Hygiene ka koi dhyan nahi rakhte. Really disappointed.,Gopalan Mall Facilities,Retail,Medium,7.0
"✅ Verified Review |  Bagdogra to Delhi. Check-in slightly chaotic at IXB. Flight full to the last seat. Service on board consisted of one cup of water. Seats narrow with not much legroom, which guaranteed very close contact to the neighbors. Arrival in DEL on time but we had to wait for some 40 min for the checked baggage to appear. We had flown the same route with Jet Airways before, who provided a much better experience than IndiGo.",IndiGo,Aviation,Medium,6.0
Not Verified |  This is our first experience with Spicejet and we are highly disappointed. This is probably the worst Airline. Our flight got rescheduled 3 times and we had to wait for like 7 hours on the Airport which was so exhausting. Just one word - Pathetic,SpiceJet,Aviation,High,9.0
half the time delivery partners are not available,Zomato Food Delivery,Food & Beverage,Medium,6.5
"✅ Trip Verified |  I recently booked a ticket from Chennai to Delhi on 6th September 2023. But, sadly I had to encounter the worst experience with Spicejet, where I was denied boarding on a mere request of writing only 2 words on the excess baggage receipt - ""Laptop Bag"" after payment of the excess baggage charges for the laptop bag that I was carrying. Such conduct from Spicejet was very unprofessional and dissatisfactory. When a customer pays the ticket price, he owns the right to travel through the flight and taking away this right is illegal in all terms. I cannot understand if there is a policy of spicejet to charge amounts for a laptop bag, what made the team cancel my onboarding on the request of adding these 2 words - ""Laptop Bag"" on the excess baggage charge payment receipt. To my utmost surprise, when I raised this with Spicejet, they are saying that I have only refused to travel and they did not deny onboarding. This is completely false, as any sensible person can vouch for it - if I would have to refuse travel I would not have even paid the excess baggage charges in the first instance. This is a pure betrayal from spicejet. At least, they should have the guts to accept what they did. They have even refused to refund the ticket price.",SpiceJet,Aviation,High,9.5
✅ Trip Verified |  The worst airline I have ever flown with. I booked and paid a premium for seating in row seven. Online check in allocated the three of us row 25. I emailed Vistara three days prior to our departure explaining that when checking in online we had been allocated the incorrect seats. No response was received. Airport check in staff either couldn’t or wouldn’t correct the obvious error and didn't seem care even though one person in our group had mobility issues. There response was that they were only responsible for checking in and it wasn’t their problem. So now I have to fill out paperwork to claim a refund for the seating I booked and paid for which was allocated to someone else. Also the people in row 24 were totally ignorant of normal polite inflight protocol and reclined their seats which affected the person in our group with the mobility issue. We asked them to be not recline their seats but all to no avail. Eventually after a vocal exchange with these people a flight attendant moved them to different seats. The whole experience was extremely disappointing and very unprofessional.,Vistara,Aviation,High,8.5
Not Verified | Unprofessional. Rude. Uncooperative. They don’t care about anyone’s personal circumstances and are unwilling to help. Cancelled the flight and are not willing to provide alternate options.,IndiGo,Aviation,High,9.0
too long time to delivered order,Zomato Food Delivery,Food & Beverage,Medium,5.0
Yes Bank credit card not delivered even after a month. Customer service says 'processing'. Kya chutiya bank hai!,Yes Bank Credit Card,Banking,Medium,7.0
I order a cake from the and pay online as it's a bday gift for my sister they people cancel my order and did not refund my amount too they don't even have a proper support they just tell me contact with bank I contacted my bank entry in my passbook but have not received any refund from zomato end they people take my money and not refunded I tried to connect but they are not contact able I will never order anything I just other people too don't make prepaid order they never refund money,Zomato Food Delivery,Food & Beverage,High,9.0
"✅ Trip Verified |  They kept delaying the departure 1 hour and again another hour, and again another hour. After almost 2.5 hours and making passenger sit in flight they say their is technical glitch.",SpiceJet,Aviation,High,8.8
"Not Verified |  I was travelling with my infant and wife, so tried to do web check-in so that we can get seats together, however all seats shown as occupied. So I reached the airport 2.5 hr prior to get seats together. I waited 15 min in queue then requested same to counter. She sent me to a different counter then again waited for 15min in a queue, then finally she said, we couldn't do it, so we were given 28A which having a baby seat also, you keep your baby in the baby seat and request co passenger for interchange. We couldn't find baby seat there, same thing asked to airhostess, she replied, there is no baby seat. They didn't even gave the baby belt, which is mandatory. Airline not for babies.",IndiGo,Aviation,High,9.0
"✅ Trip Verified |  Kochi to Hyderabad via Mumbai. I earlier travelled to cochin, it was delayed by 1.3 hours. This time they directly rescheduled my travel. I was supposed to travel from Cochin to Hyderabad via Chennai. But they had rerouted me to Mumbai then to Hyderabad. Before rescheduling directly they should have given me options of cancellation or showing next available flight options. I got delayed by more than 5 hours. Who would want to suffer without sleep for purely airlines mistake?  When i ask for compensation they  say you should have called before starting your travel.",IndiGo,Aviation,High,8.5
"✅ Trip Verified |  As we arrived at the gate on time for our Dubai - Mumbai flight, SpiceJet refused to board us for no apparent reason. I deduce that this company practices overbooking. Not happy to have made us miss this flight, this action has simply deprived us of holidays, my family and I, since we also missed our 2nd connection for Thailand and by the same, the organized trip that we had planned and paid for . All because of the SpiceJet representative in Dubai. Shame on him and this unprofessional company  Alors que nous sommes arrivés à la porte d’embarquement à l’heure pour notre vol Dubai - Mumbai, SpiceJet a refusé de nous embarquer sans raison apparente. J’en déduis que cette compagnie pratique le surbooking. Non content de nous avoir fait loupé ce vol, cet agissement vient simplement de nous priver de vacances, ma famille et moi, puisque nous avons aussi raté notre 2eme correspondance pour la Thailande et par la même, le voyage organisé que nous avions prévu et payé. Tout ça à cause du représentant de SpiceJet à Dubai. Honte à lui et à cette compagnie peu professionnelle",SpiceJet,Aviation,High,10.0
"The jewellery I ordered from Tanishq online looks completely different from the picture. So disappointed, it's like a dhokha!",Tanishq Jewellery,Retail,Medium,6.0
"Not Verified |  I booked air tickets from Mumbai to Maldives & my further journey was booked 3 days after from Maldives to Brunei where I work & I had all the required documents including Visa, Travel approvals etc from Brunei & Maldives immigration which I showed to the Mumbai Checkin counter at 8:30am. However the counter crew did not issue me boarding passes stating that I do not have return tickets from Maldives & kept me waiting at the counter along with my kids standing for more than 1 hour. She did not even bothered to give a call to relevant authorities to get the resolution neither entertained my numerous requests. I even tried to get resolution by calling customer care number but even they couldn't resolve it. I have raised official complaint against such  uninformative and arrogant Ground staff on their complaint portal. I had to spend my 80$ in order to book return tickets and then cancel it just to get my boarding passes. The Maldives immigration did not even asked me about any return tickets. Its really shame on such airline for unnecessarily troubling their travelers.",Go First,Aviation,High,8.0
Cheque clear hone mein 5 din lag rahe hain. Kya mazaak hai? Digital India mein bhi itna slow process?,Allahabad Bank Cheque Clearing,Banking,Medium,5.0
"Myntra, your sizing charts are a joke. Ordered a dress, it's two sizes smaller. Every time this happens, so frustrating!",Myntra Dress,Retail,Medium,5.5
very worst service I am delete zometo from my phone permanently zometo make your service good,Zomato Food Delivery,Food & Beverage,Medium,4.0
"Not Verified |  I had booked round trip direct flights with Go First from Pune to Lucknow with my wife and 2 year old. Close to the travel date, they cancelled both flights. Then I was forced to book indirect flights with them. They subsequently cancelled the return flight again. I begged them for a closest airport option (namely flying me to Mumbai). They declined that. Then I begged them to halt me in Delhi for a night at my own expense since long travel with a baby is difficult. They even declined that. Their refund option does not reflect the current market value of the tickets which was several times the original at that point. They prevailed at the end I was compelled to take an 11 hour trip instead of the original 2 hours that I bought with them.",Go First,Aviation,High,9.5
"Ordered a branded saree from Myntra, got a cheap duplicate one. Paise barbaad! This is cheating.",Myntra Saree,Retail,High,8.0
Not Verified | Lucknow to Kolkata. Very poor service. They always change your flight and just left a message. I can't remember a single time that I book my flight in Go First and they don't change it. I have a booking on 13 Apr 2022 in G8 163 which was a direct flight but they change it and just left a message. When I call back they just said sorry sir this flight is cancelled so we have to change your flight then they again change it which was a connection flight on same day. And tomorrow I'll travel on it but they again change it to another. And this time they don't tell me that this flight is cancelled they just told me that due to some reason we've change your flight. Worst airline in my point of view.,Go First,Aviation,High,9.0
worst app ever stolen my money I doesn't got my food not even my money back...,Zomato Food Delivery,Food & Beverage,High,9.5
"✅ Trip Verified |  I am Extremely disappointed with the ground crew staff of Air India at Ahmedabad airport. I was travelling on 12th Nov 2021 from Ahmedabad to Chicago via Delhi. My flight was at 7:35 PM and I was inside airport at 5:30 PM. The Airport ground crew of Air India, stopped me and said we can not travel to USA as my infant child is holding Canadian passport and so she can't travel USA without valid B1/B2 VISA. They didn't even know that Canadian passport holders gets on arrival visa to enter USA. When I showed both of them the proof of USA & Canadian federal website and rules about the same that Canadian passport holders are allowed to travel USA and get on arrival visa. That supervisor told me ""people can write anything in their website, so we don't consider federal website as a proof"" I was shocked knowing they were not aware about the rule. When my travel agent directly contact to higher authorities from Air India and explained that they are wrong, I was issued board passes after 2 hours of harassment by Air India. The aircraft was so dirty and unhygienic to even fly. This was very old aircraft and there was food stuck in side the TV remote and all inside the seat corners. The seats were even damaged and broken joints for food tray.",AirIndia,Aviation,High,9.0
"Poor platform, they will club multiple deliveries and screw your time and food. Have hot food cold and cold hot...",Zomato Food Delivery,Food & Beverage,Medium,5.5
"Bought a bicycle from a sports shop, chain broke on the first ride. Seller refusing to repair, saying it's my fault.",Sports Shop Bicycle,Retail,Medium,6.5
"I'm extremely disappointed with the service. I tried to cancel my order, but the customer executive was unhelpful and threatened to block my number if I didn't accept the delivery. This is unacceptable customer service.",Zomato Food Delivery,Food & Beverage,High,9.0
"My ATM card got stuck inside the machine, and no one from the bank is helping. Pura dimag kharab ho gaya.",ICICI Bank ATM,Banking,High,8.5
"✅ Trip Verified |  Really bad experience with SpiceJet. I was traveling Mangalore to Dubai, the flight was delayed for five hours. First they sent the message that the flight is delayed for 2 hours. After reaching the airport again they sent a message, the flight is delayed for 2 hours. When boarding time comes they message came that flight is delayed. Inflight they didn't even offer water. I paid Rupees 32000 for one way and they can't even provide water. Other flights are serving free food and beverages but they never serve free food and beverages after charging high prices for ticket. I will never recommend this flight unless it is an emergency. They have to change their service.",SpiceJet,Aviation,Medium,7.0
